capture_index,filename,capture_time,image_stamp_sec,image_stamp_nanosec,mode,layer_index,x,y,z,yaw_rad,yaw_deg,tilt_deg
47,waypoint_000047.jpg,2026-07-18T19:01:33.254,125,568000000,layer_scan_L2,1,-1.3363267183303833,20.969070434570312,-5.999214172363281,-0.8119141869843117,-46.51925624099662,-35.0
48,waypoint_000048.jpg,2026-07-18T19:01:34.753,127,52000000,layer_scan_L2,1,-2.9923768043518066,19.51739501953125,-6.0030517578125,-0.6073687324388565,-34.79966497695701,-35.0
49,waypoint_000049.jpg,2026-07-18T19:01:36.530,128,800000000,layer_scan_L2,1,-4.345295429229736,17.71059799194336,-5.993450164794922,-0.4028232778934014,-23.080073712917414,-35.0
50,waypoint_000050.jpg,2026-07-18T19:01:37.764,130,24000000,layer_scan_L2,1,-5.325192451477051,15.707807540893555,-5.997653961181641,-0.19827782334794639,-11.360482448877823,-35.0
51,waypoint_000051.jpg,2026-07-18T19:01:39.233,131,508000000,layer_scan_L2,1,-5.87064266204834,13.56343936920166,-5.995292663574219,0.006267631197508572,0.35910881516176724,-35.0
52,waypoint_000052.jpg,2026-07-18T19:01:40.844,133,60000000,layer_scan_L2,1,-5.938875675201416,11.299627304077148,-6.0013275146484375,0.2108130857429637,12.078700079201367,-35.0
53,waypoint_000053.jpg,2026-07-18T19:01:42.336,134,544000000,layer_scan_L2,1,-5.5741047859191895,9.111200332641602,-5.999813079833984,0.4153585402884187,23.798291343240955,-35.0
54,waypoint_000054.jpg,2026-07-18T19:01:43.725,135,896000000,layer_scan_L2,1,-4.759388446807861,7.025014400482178,-6.004096984863281,0.6199039948338737,35.517882607280555,-35.0
55,waypoint_000055.jpg,2026-07-18T19:01:45.366,137,548000000,layer_scan_L2,1,-3.546354293823242,5.128531455993652,-5.997947692871094,0.8244494493793287,47.23747387132015,-35.0
56,waypoint_000056.jpg,2026-07-18T19:01:46.720,139,32000000,layer_scan_L2,1,-1.9860807657241821,3.5529322624206543,-5.992057800292969,1.0289949039247839,58.95706513535975,-35.0
57,waypoint_000057.jpg,2026-07-18T19:01:51.261,143,320000000,layer_scan_L3,2,1.2566475868225098,1.6838042736053467,-4.097137451171875,1.3599074838316305,77.91695935180768,-40.0
58,waypoint_000058.jpg,2026-07-18T19:01:52.737,144,808000000,layer_scan_L3,2,3.0591630935668945,1.3077400922775269,-4.021793365478516,1.54399839292254,88.4645914894433,-40.0
59,waypoint_000059.jpg,2026-07-18T19:01:53.975,145,996000000,layer_scan_L3,2,5.08807897567749,1.109092354774475,-4.001552581787109,1.7280893020134496,99.01222362707894,-40.0
60,waypoint_000060.jpg,2026-07-18T19:01:55.241,147,248000000,layer_scan_L3,2,7.0995330810546875,1.2418954372406006,-3.998096466064453,1.912180211104359,109.55985576471456,-40.0
